Gm#,Date,Season,Attendance
168,'15-Apr-21',2021,5060
169,'23-Apr-21',2021,7574
170,'24-Apr-21',2021,7616
171,'25-Apr-21',2021,8107
172,'26-Apr-21',2021,6367
173,'27-Apr-21',2021,6662
174,'28-Apr-21',2021,7338
175,'29-Apr-21',2021,7738
176,'7-May-21',2021,7724
177,'8-May-21',2021,10598
178,'9-May-21',2021,10274
179,'10-May-21',2021,6826
180,'14-May-21',2021,10809
181,'15-May-21',2021,10767
182,'16-May-21',2021,11070
183,'18-May-21',2021,5429
184,'19-May-21',2021,6581
185,'20-May-21',2021,6916
186,'31-May-21',2021,11010
187,'1-Jun-21',2021,5337
188,'2-Jun-21',2021,5945
189,'4-Jun-21',2021,12009
190,'5-Jun-21',2021,9969
191,'6-Jun-21',2021,9423
192,'8-Jun-21',2021,9431
193,'9-Jun-21',2021,9584
194,'18-Jun-21',2021,13284
195,'19-Jun-21',2021,10721
196,'20-Jun-21',2021,14917
197,'21-Jun-21',2021,7414
198,'22-Jun-21',2021,8510
199,'23-Jun-21',2021,10013
200,'6-Jul-21',2021,7388
201,'7-Jul-21',2021,7457
202,'9-Jul-21',2021,12077
203,'10-Jul-21',2021,26391
204,'11-Jul-21',2021,11600
205,'23-Jul-21',2021,17022
206,'24-Jul-21',2021,30898
207,'25-Jul-21',2021,15690
208,'27-Jul-21',2021,10098
209,'28-Jul-21',2021,8363
210,'6-Aug-21',2021,11320
211,'7-Aug-21',2021,18545
212,'8-Aug-21',2021,10576
213,'10-Aug-21',2021,7124
214,'11-Aug-21',2021,8990
215,'12-Aug-21',2021,8382
216,'20-Aug-21',2021,13583
217,'21-Aug-21',2021,15774
218,'22-Aug-21',2021,11180
219,'24-Aug-21',2021,8781
220,'25-Aug-21',2021,15867
221,'26-Aug-21',2021,10211
222,'27-Aug-21',2021,7155
223,'28-Aug-21',2021,11110
224,'29-Aug-21',2021,8353
225,'6-Sep-21',2021,11973
226,'7-Sep-21',2021,4981
227,'8-Sep-21',2021,4965
228,'9-Sep-21',2021,5087
229,'10-Sep-21',2021,11751
230,'11-Sep-21',2021,0
231,'11-Sep-21',2021,10219
232,'12-Sep-21',2021,8474
233,'14-Sep-21',2021,10235
234,'15-Sep-21',2021,10402
235,'16-Sep-21',2021,20164
236,'23-Sep-21',2021,6328
237,'24-Sep-21',2021,7935
238,'25-Sep-21',2021,10645
239,'26-Sep-21',2021,13495
240,'28-Sep-21',2021,8098
241,'29-Sep-21',2021,8732
242,'30-Sep-21',2021,13012
243,'2-Apr-21',2021,4452
244,'3-Apr-21',2021,4571
245,'4-Apr-21',2021,4458
246,'5-Apr-21',2021,4577
247,'6-Apr-21',2021,4682
248,'7-Apr-21',2021,4751
249,'17-Apr-21',2021,4668
250,'18-Apr-21',2021,4679
251,'18-Apr-21',2021,4601
252,'19-Apr-21',2021,4738
253,'20-Apr-21',2021,4728
254,'21-Apr-21',2021,4661
255,'22-Apr-21',2021,4617
256,'23-Apr-21',2021,4646
257,'24-Apr-21',2021,4621
258,'25-Apr-21',2021,4510
259,'4-May-21',2021,4677
260,'5-May-21',2021,4661
261,'6-May-21',2021,4734
262,'11-May-21',2021,9264
263,'12-May-21',2021,9272
264,'13-May-21',2021,9301
265,'14-May-21',2021,9284
266,'15-May-21',2021,9374
267,'16-May-21',2021,9316
268,'25-May-21',2021,9357
269,'26-May-21',2021,9197
270,'28-May-21',2021,9005
271,'29-May-21',2021,25089
272,'7-Jun-21',2021,25374
273,'8-Jun-21',2021,23604
274,'9-Jun-21',2021,21007
275,'10-Jun-21',2021,23378
276,'11-Jun-21',2021,25257
277,'12-Jun-21',2021,24024
278,'13-Jun-21',2021,22595
279,'14-Jun-21',2021,20070
280,'25-Jun-21',2021,36869
281,'26-Jun-21',2021,36857
282,'27-Jun-21',2021,34504
283,'28-Jun-21',2021,22766
284,'29-Jun-21',2021,25180
285,'30-Jun-21',2021,24616
286,'1-Jul-21',2021,27913
287,'9-Jul-21',2021,32641
288,'10-Jul-21',2021,33202
289,'11-Jul-21',2021,32586
290,'22-Jul-21',2021,34761
291,'23-Jul-21',2021,34922
292,'24-Jul-21',2021,35136
293,'25-Jul-21',2021,32009
294,'26-Jul-21',2021,27142
295,'28-Jul-21',2021,27410
296,'28-Jul-21',2021,27783
297,'29-Jul-21',2021,33191
298,'10-Aug-21',2021,28356
299,'11-Aug-21',2021,30286
300,'12-Aug-21',2021,26803
301,'13-Aug-21',2021,28022
302,'14-Aug-21',2021,33118
303,'15-Aug-21',2021,28935
304,'20-Aug-21',2021,30012
305,'21-Aug-21',2021,32495
306,'23-Aug-21',2021,27652
307,'24-Aug-21',2021,27986
308,'25-Aug-21',2021,28923
309,'26-Aug-21',2021,33746
310,'3-Sep-21',2021,31127
311,'4-Sep-21',2021,33081
312,'5-Sep-21',2021,27578
313,'6-Sep-21',2021,26512
314,'7-Sep-21',2021,25065
315,'8-Sep-21',2021,26649
316,'17-Sep-21',2021,29811
317,'18-Sep-21',2021,30027
318,'19-Sep-21',2021,27010
319,'21-Sep-21',2021,32146
320,'22-Sep-21',2021,30254
321,'24-Sep-21',2021,36026
322,'25-Sep-21',2021,36103
323,'26-Sep-21',2021,36312
324,'1-Apr-21',2021,10343
325,'3-Apr-21',2021,10343
326,'4-Apr-21',2021,10343
327,'5-Apr-21',2021,10343
328,'6-Apr-21',2021,10343
329,'7-Apr-21',2021,10343
330,'16-Apr-21',2021,10343
331,'17-Apr-21',2021,10343
332,'18-Apr-21',2021,10343
333,'20-Apr-21',2021,10137
334,'21-Apr-21',2021,10196
335,'22-Apr-21',2021,10343
336,'23-Apr-21',2021,10343
337,'24-Apr-21',2021,10343
338,'25-Apr-21',2021,10343
339,'4-May-21',2021,10295
340,'4-May-21',2021,10343
341,'5-May-21',2021,10343
342,'7-May-21',2021,10343
343,'8-May-21',2021,10343
344,'9-May-21',2021,10343
345,'17-May-21',2021,11144
346,'18-May-21',2021,11142
347,'19-May-21',2021,11145
348,'20-May-21',2021,11143
349,'28-May-21',2021,18478
350,'29-May-21',2021,24275
351,'30-May-21',2021,24824
352,'31-May-21',2021,24824
353,'1-Jun-21',2021,24824
354,'2-Jun-21',2021,22056
355,'11-Jun-21',2021,35112
356,'12-Jun-21',2021,39095
357,'13-Jun-21',2021,35225
358,'18-Jun-21',2021,32505
359,'19-Jun-21',2021,35846
360,'20-Jun-21',2021,37158
361,'21-Jun-21',2021,32934
362,'22-Jun-21',2021,35493
363,'5-Jul-21',2021,37165
364,'6-Jul-21',2021,30095
365,'7-Jul-21',2021,28860
366,'8-Jul-21',2021,30727
367,'9-Jul-21',2021,36192
368,'10-Jul-21',2021,39368
369,'23-Jul-21',2021,34059
370,'24-Jul-21',2021,37190
371,'25-Jul-21',2021,32602
372,'26-Jul-21',2021,29215
373,'27-Jul-21',2021,28153
374,'28-Jul-21',2021,30134
375,'29-Jul-21',2021,32793
376,'6-Aug-21',2021,39539
377,'7-Aug-21',2021,40077
378,'8-Aug-21',2021,39412
379,'10-Aug-21',2021,29031
380,'10-Aug-21',2021,28674
381,'11-Aug-21',2021,29619
382,'12-Aug-21',2021,32502
383,'20-Aug-21',2021,31835
384,'21-Aug-21',2021,34005
385,'22-Aug-21',2021,29640
386,'23-Aug-21',2021,25577
387,'25-Aug-21',2021,24161
388,'25-Aug-21',2021,24936
389,'2-Sep-21',2021,26963
390,'3-Sep-21',2021,24441
391,'4-Sep-21',2021,30020
392,'5-Sep-21',2021,30155
393,'6-Sep-21',2021,27289
394,'7-Sep-21',2021,24925
395,'8-Sep-21',2021,25861
396,'10-Sep-21',2021,29439
397,'11-Sep-21',2021,34723
398,'12-Sep-21',2021,32021
399,'21-Sep-21',2021,25594
400,'22-Sep-21',2021,24402
401,'24-Sep-21',2021,29030
402,'24-Sep-21',2021,35020
403,'25-Sep-21',2021,32918
404,'26-Sep-21',2021,26547
405,'8-Apr-21',2021,8207
406,'11-Apr-21',2021,7695
407,'12-Apr-21',2021,7393
408,'13-Apr-21',2021,7102
409,'14-Apr-21',2021,7148
410,'15-Apr-21',2021,7049
411,'23-Apr-21',2021,8969
412,'24-Apr-21',2021,8556
413,'25-Apr-21',2021,9285
414,'27-Apr-21',2021,9445
415,'29-Apr-21',2021,0
416,'29-Apr-21',2021,7628
417,'30-Apr-21',2021,9405
418,'1-May-21',2021,9451
419,'2-May-21',2021,9471
420,'11-May-21',2021,7962
421,'12-May-21',2021,8393
422,'13-May-21',2021,8188
423,'14-May-21',2021,8574
424,'14-May-21',2021,9823
425,'15-May-21',2021,9886
426,'16-May-21',2021,9928
427,'24-May-21',2021,14629
428,'25-May-21',2021,16380
429,'26-May-21',2021,14791
430,'27-May-21',2021,9671
431,'29-May-21',2021,0
432,'29-May-21',2021,20029
433,'30-May-21',2021,21067
434,'3-Jun-21',2021,12845
435,'4-Jun-21',2021,21637
436,'5-Jun-21',2021,21719
437,'6-Jun-21',2021,20068
438,'8-Jun-21',2021,12761
439,'9-Jun-21',2021,14438
440,'10-Jun-21',2021,16903
441,'14-Jun-21',2021,18024
442,'15-Jun-21',2021,19259
443,'16-Jun-21',2021,20098
444,'25-Jun-21',2021,32189
445,'26-Jun-21',2021,30017
446,'27-Jun-21',2021,30017
