Gm#,Date,Tm,Opp,Attendance,,,,,,,,,,,,,,,,,
73,"Tuesday, Sep 21",ARI,ATL,"8,879",,,,,,,,,,,,,,,,,
74,"Wednesday, Sep 22",ARI,ATL,"10,631",,,,,,,,,,,,,,,,,
75,"Thursday, Sep 23",ARI,ATL,"6,880",,,,,,,,,,,,,,,,,
76,"Friday, Sep 24",ARI,LAD,"19,001",,,,,,,,,,,,,,,,,
77,"Saturday, Sep 25",ARI,LAD,"28,026",,,,,,,,,,,,,,,,,
78,"Sunday, Sep 26",ARI,LAD,"16,648",,,,,,,,,,,,,,,,,
79,"Friday, Oct 1",ARI,COL,"15,189",,,,,,,,,,,,,,,,,
80,"Saturday, Oct 2",ARI,COL,"19,418",,,,,,,,,,,,,,,,,
81,"Sunday, Oct 3",ARI,COL,"12,565",,,,,,,,,,,,,,,,,
82,"Friday, Apr 9",ATL,PHI,"14,342",,,,,,,,,,,,,,,,,
83,"Saturday, Apr 10",ATL,PHI,"14,394",,,,,,,,,,,,,,,,,
84,"Sunday, Apr 11",ATL,PHI,"14,221",,,,,,,,,,,,,,,,,
85,"Monday, Apr 12",ATL,MIA,"11,830",,,,,,,,,,,,,,,,,
86,"Tuesday, Apr 13",ATL,MIA,"12,036",,,,,,,,,,,,,,,,,
87,"Wednesday, Apr 14",ATL,MIA,"12,480",,,,,,,,,,,,,,,,,
88,"Thursday, Apr 15",ATL,MIA,"11,739",,,,,,,,,,,,,,,,,
89,"Friday, Apr 23",ATL,ARI,"19,258",,,,,,,,,,,,,,,,,
90,"Sunday, Apr 25 (1)",ATL,ARI,,,,,,,,,,,,,,,,,,
91,"Sunday, Apr 25 (2)",ATL,ARI,"20,693",,,,,,,,,,,,,,,,,
92,"Monday, Apr 26",ATL,CHC,"17,956",,,,,,,,,,,,,,,,,
93,"Tuesday, Apr 27",ATL,CHC,"17,603",,,,,,,,,,,,,,,,,
94,"Wednesday, Apr 28",ATL,CHC,"18,709",,,,,,,,,,,,,,,,,
95,"Thursday, Apr 29",ATL,CHC,"19,661",,,,,,,,,,,,,,,,,
96,"Friday, May 7",ATL,PHI,"38,952",,,,,,,,,,,,,,,,,
97,"Saturday, May 8",ATL,PHI,"39,852",,,,,,,,,,,,,,,,,
98,"Sunday, May 9",ATL,PHI,"28,829",,,,,,,,,,,,,,,,,
99,"Tuesday, May 11",ATL,TOR,"21,688",,,,,,,,,,,,,,,,,
100,"Wednesday, May 12",ATL,TOR,"21,171",,,,,,,,,,,,,,,,,
